"Title","URL handle","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price","Inventory tracker","Inventory quantity","Continue selling when out of stock","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text"
"Ilmin Il Roso 30 ML","ilmin-il-roso-30-ml","<p>Ilmin Il Roso 30 ML: una fragancia oriental de Ilmin. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Ilmin","Perfume Árabe","arabe, unisex, caja, oriental, ilmin","TRUE","Active","Title","Default Title","156000.00","shopify","7","DENY","TRUE","manual","","",""
"9pm Afnan 100 ML","9pm-afnan-100-ml","<p>9pm Afnan 100 ML: una fragancia oriental de Afnan. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Afnan","Perfume Árabe","arabe, unisex, caja, oriental, afnan","TRUE","Active","Title","Default Title","130000.00","shopify","4","DENY","TRUE","manual","","",""
"9pm Rebel 100 ML","9pm-rebel-100-ml","<p>9pm Rebel 100 ML: una fragancia oriental de Afnan. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Afnan","Perfume Árabe","arabe, unisex, caja, oriental, afnan","TRUE","Active","Title","Default Title","136000.00","shopify","12","DENY","TRUE","manual","","",""
"9am Dive 100 ML","9am-dive-100-ml","<p>9am Dive 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","136000.00","shopify","6","DENY","TRUE","manual","","",""
"9am Pour Femme 100 ML","9am-pour-femme-100-ml","<p>9am Pour Femme 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, dama, caja, oriental, lattafa","TRUE","Active","Title","Default Title","136000.00","shopify","6","DENY","TRUE","manual","","",""
"9pm Pour Femme 100 ML","9pm-pour-femme-100-ml","<p>9pm Pour Femme 100 ML: una fragancia oriental de Afnan. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Afnan","Perfume Árabe","arabe, dama, caja, oriental, afnan","TRUE","Active","Title","Default Title","136000.00","shopify","8","DENY","TRUE","manual","","",""
"Pegasus Marly 100 ML","pegasus-marly-100-ml","<p>Pegasus Marly 100 ML: una fragancia oriental de Parfums de Marly. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Parfums de Marly","Perfume Árabe","arabe, unisex, caja, oriental, parfums-de-marly","TRUE","Active","Title","Default Title","146000.00","shopify","15","DENY","TRUE","manual","","",""
"Layton Royal 100 ML","layton-royal-100-ml","<p>Layton Royal 100 ML: una fragancia oriental de Parfums de Marly. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Parfums de Marly","Perfume Árabe","arabe, unisex, caja, oriental, parfums-de-marly","TRUE","Active","Title","Default Title","134000.00","shopify","6","DENY","TRUE","manual","","",""
"Marly Kalan 100 ML","marly-kalan-100-ml","<p>Marly Kalan 100 ML: una fragancia oriental de Parfums de Marly. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Parfums de Marly","Perfume Árabe","arabe, unisex, caja, oriental, parfums-de-marly","TRUE","Active","Title","Default Title","138000.00","shopify","3","DENY","TRUE","manual","","",""
"Delina Royal 80 ML","delina-royal-80-ml","<p>Delina Royal 80 ML: una fragancia oriental de Parfums de Marly. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Parfums de Marly","Perfume Árabe","arabe, unisex, caja, oriental, parfums-de-marly","TRUE","Active","Title","Default Title","176000.00","shopify","12","DENY","TRUE","manual","","",""
"Xerjoff-erba Pura 100 ML","xerjoff-erba-pura-100-ml","<p>Xerjoff-erba Pura 100 ML: una fragancia oriental de Xerjoff. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Xerjoff","Perfume Árabe","arabe, unisex, caja, oriental, xerjoff","TRUE","Active","Title","Default Title","198000.00","shopify","3","DENY","TRUE","manual","","",""
"Xerjoff-naxos 100 ML","xerjoff-naxos-100-ml","<p>Xerjoff-naxos 100 ML: una fragancia oriental de Xerjoff. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Xerjoff","Perfume Árabe","arabe, unisex, caja, oriental, xerjoff","TRUE","Active","Title","Default Title","176000.00","shopify","7","DENY","TRUE","manual","","",""
"Bianco Latte 100 ML","bianco-latte-100-ml","<p>Bianco Latte 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","170000.00","shopify","11","DENY","TRUE","manual","","",""
"Oud For Greatness 100 ML","oud-for-greatness-100-ml","<p>Oud For Greatness 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","198000.00","shopify","8","DENY","TRUE","manual","","",""
"Bond Bleecker Street 100 ML","bond-bleecker-street-100-ml","<p>Bond Bleecker Street 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","176000.00","shopify","13","DENY","TRUE","manual","","",""
"Santal 33 100 ML","santal-33-100-ml","<p>Santal 33 100 ML: una fragancia oriental de Le Labo. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Le Labo","Perfume Árabe","arabe, unisex, caja, oriental, le-labo","TRUE","Active","Title","Default Title","116000.00","shopify","3","DENY","TRUE","manual","","",""
"Arabians Tonka 100 ML","arabians-tonka-100-ml","<p>Arabians Tonka 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","126000.00","shopify","6","DENY","TRUE","manual","","",""
"Starry Night Montale 100 ML","starry-night-montale-100-ml","<p>Starry Night Montale 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","126000.00","shopify","11","DENY","TRUE","manual","","",""
"Montale Rose Musk 100 ML","montale-rose-musk-100-ml","<p>Montale Rose Musk 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","126000.00","shopify","7","DENY","TRUE","manual","","",""
"Bacarat Rouge 540 65 ML","bacarat-rouge-540-65-ml","<p>Bacarat Rouge 540 65 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","120000.00","shopify","8","DENY","TRUE","manual","","",""
"Mancera Cedrat Boise 100 ML","mancera-cedrat-boise-100-ml","<p>Mancera Cedrat Boise 100 ML: una fragancia oriental de Lattafa. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Lattafa","Perfume Árabe","arabe, unisex, caja, oriental, lattafa","TRUE","Active","Title","Default Title","136000.00","shopify","6","DENY","TRUE","manual","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/MANCERACEDRATBOISE1.jpg?v=1749818562","1","Mancera Cedrat Boise 100 ML"
"Le Male La Parfum-lata 120 ML","le-male-la-parfum-lata-120-ml","<p>Le Male La Parfum-lata 120 ML: una fragancia amaderada de Jean Paul Gaultier. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Jean Paul Gaultier","Perfume Masculino","masculino, caballero, caja, amaderado, jean-paul-gaultier","TRUE","Active","Title","Default Title","146000.00","shopify","13","DENY","TRUE","manual","","",""
"Yvest Saint Laurent 100ml","yvest-saint-laurent-100ml","<p>Yvest Saint Laurent 100ml: una fragancia amaderada de Yves Saint Laurent. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Yves Saint Laurent","Perfume Masculino","masculino, caballero, caja, amaderado, yves-saint-laurent","TRUE","Active","Title","Default Title","136000.00","shopify","13","DENY","TRUE","manual","","",""
"Invictus Victory Elixir 100 ML","invictus-victory-elixir-100-ml","<p>Invictus Victory Elixir 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","124000.00","shopify","13","DENY","TRUE","manual","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/INVICTUSVICTORYELIXIR1.jpg?v=1749732712","1","Invictus Victory Elixir 100 ML"
"Invictus Victory 100 ML","invictus-victory-100-ml","<p>Invictus Victory 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","9","DENY","TRUE","manual","","",""
"Invictus Aqua 100 ML","invictus-aqua-100-ml","<p>Invictus Aqua 100 ML: una fragancia fresca de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, fresco, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","15","DENY","TRUE","manual","","",""
"Invictus Platinum 100 ML","invictus-platinum-100-ml","<p>Invictus Platinum 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","120000.00","shopify","9","DENY","TRUE","manual","","",""
"Phantom 100 ML","phantom-100-ml","<p>Phantom 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","14","DENY","TRUE","manual","","",""
"Phantom Intense 100 ML","phantom-intense-100-ml","<p>Phantom Intense 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","130000.00","shopify","8","DENY","TRUE","manual","","",""
"Phantom Parfum 100 ML","phantom-parfum-100-ml","<p>Phantom Parfum 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","130000.00","shopify","8","DENY","TRUE","manual","","",""
"Phantom Legion 100 ML","phantom-legion-100-ml","<p>Phantom Legion 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","134000.00","shopify","13","DENY","TRUE","manual","","",""
"Pure Xs 100 ML","pure-xs-100-ml","<p>Pure Xs 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","7","DENY","TRUE","manual","","",""
"Black Xs 100 ML","black-xs-100-ml","<p>Black Xs 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","10","DENY","TRUE","manual","","",""
"Black Xs L’exces 100 ML","black-xs-l-exces-100-ml","<p>Black Xs L’exces 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","116000.00","shopify","14","DENY","TRUE","manual","","",""
"Black Xs L’aphrodisiaque 100 ML","black-xs-l-aphrodisiaque-100-ml","<p>Black Xs L’aphrodisiaque 100 ML: una fragancia amaderada de Paco Rabanne. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Paco Rabanne","Perfume Masculino","masculino, caballero, caja, amaderado, paco-rabanne","TRUE","Active","Title","Default Title","120000.00","shopify","15","DENY","TRUE","manual","","",""
"Moschino Toy Boy 100 ML","moschino-toy-boy-100-ml","<p>Moschino Toy Boy 100 ML: una fragancia amaderada de Moschino. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Moschino","Perfume Masculino","masculino, caballero, caja, amaderado, moschino","TRUE","Active","Title","Default Title","126000.00","shopify","15","DENY","TRUE","manual","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/MOSCHINOTOYBOY1.jpg?v=1749732765","1","Moschino Toy Boy 100 ML"
"Bad Boy Carolina Herrera 100 ML","bad-boy-carolina-herrera-100-ml","<p>Bad Boy Carolina Herrera 100 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","120000.00","shopify","6","DENY","TRUE","manual","","",""
"CH Men Carolina Herrera","ch-men-carolina-herrera","<p>CH Men Carolina Herrera: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","11","DENY","TRUE","manual","","",""
"212 Men Nyc Carolina Herrera","212-men-nyc-carolina-herrera","<p>212 Men Nyc Carolina Herrera: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","15","DENY","TRUE","manual","","",""
"212 VIP Men Carolina Herrera","212-vip-men-carolina-herrera","<p>212 VIP Men Carolina Herrera: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","14","DENY","TRUE","manual","","",""
"212 VIP Black Carolina Herrera","212-vip-black-carolina-herrera","<p>212 VIP Black Carolina Herrera: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","12","DENY","TRUE","manual","","",""
"212 VIP Wild Party Men","212-vip-wild-party-men","<p>212 VIP Wild Party Men: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","120000.00","shopify","8","DENY","TRUE","manual","","",""
"212 Heroes Men 90 ML","212-heroes-men-90-ml","<p>212 Heroes Men 90 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","114000.00","shopify","9","DENY","TRUE","manual","","",""
"212 VIP Red Men 100 ML","212-vip-red-men-100-ml","<p>212 VIP Red Men 100 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","7","DENY","TRUE","manual","","",""
"212 VIP Wins Men 100 ML","212-vip-wins-men-100-ml","<p>212 VIP Wins Men 100 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","116000.00","shopify","3","DENY","TRUE","manual","","",""
"212 Sexy Men 100 ML","212-sexy-men-100-ml","<p>212 Sexy Men 100 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","120000.00","shopify","6","DENY","TRUE","manual","","",""
"212 Men Aqua 100 ML","212-men-aqua-100-ml","<p>212 Men Aqua 100 ML: una fragancia fresca de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, fresco, carolina-herrera","TRUE","Active","Title","Default Title","120000.00","shopify","12","DENY","TRUE","manual","","",""
"212 VIP Black I Love Ny 100 ML","212-vip-black-i-love-ny-100-ml","<p>212 VIP Black I Love Ny 100 ML: una fragancia amaderada de Carolina Herrera. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Carolina Herrera","Perfume Masculino","masculino, caballero, caja, amaderado, carolina-herrera","TRUE","Active","Title","Default Title","126000.00","shopify","9","DENY","TRUE","manual","","",""
"Bleu De Chanel 100 ML","bleu-de-chanel-100-ml","<p>Bleu De Chanel 100 ML: una fragancia fresca de Chanel. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Chanel","Perfume Masculino","masculino, caballero, caja, fresco, chanel","TRUE","Active","Title","Default Title","116000.00","shopify","13","DENY","TRUE","manual","","",""
"Allure Homme Sport 100 ML","allure-homme-sport-100-ml","<p>Allure Homme Sport 100 ML: una fragancia amaderada de Chanel. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Chanel","Perfume Masculino","masculino, caballero, caja, amaderado, chanel","TRUE","Active","Title","Default Title","116000.00","shopify","8","DENY","TRUE","manual","","",""
"Clinique Happy Men 100 ML","clinique-happy-men-100-ml","<p>Clinique Happy Men 100 ML: una fragancia amaderada de Clinique. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Clinique","Perfume Masculino","masculino, caballero, caja, amaderado, clinique","TRUE","Active","Title","Default Title","110000.00","shopify","4","DENY","TRUE","manual","","",""
"Swiss Army Victorinox 100 ML","swiss-army-victorinox-100-ml","<p>Swiss Army Victorinox 100 ML: una fragancia amaderada de Victorinox. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Victorinox","Perfume Masculino","masculino, caballero, caja, amaderado, victorinox","TRUE","Active","Title","Default Title","116000.00","shopify","14","DENY","TRUE","manual","","",""
"Creed Aventus 100 ML","creed-aventus-100-ml","<p>Creed Aventus 100 ML: una fragancia amaderada de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, amaderado, creed","TRUE","Active","Title","Default Title","116000.00","shopify","14","DENY","TRUE","manual","https://cdn.shopify.com/s/files/1/0943/2019/7906/files/CREEDAVENTUS1.jpg?v=1749733202","1","Creed Aventus 100 ML"
"Creed Silver 100 ML","creed-silver-100-ml","<p>Creed Silver 100 ML: una fragancia amaderada de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, amaderado, creed","TRUE","Active","Title","Default Title","116000.00","shopify","12","DENY","TRUE","manual","","",""
"Creed Milesime Imperial 100 ML","creed-milesime-imperial-100-ml","<p>Creed Milesime Imperial 100 ML: una fragancia amaderada de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, amaderado, creed","TRUE","Active","Title","Default Title","120000.00","shopify","10","DENY","TRUE","manual","","",""
"Creed Vetiver 100 ML","creed-vetiver-100-ml","<p>Creed Vetiver 100 ML: una fragancia amaderada de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, amaderado, creed","TRUE","Active","Title","Default Title","124000.00","shopify","4","DENY","TRUE","manual","","",""
"Creed Santal 100 ML","creed-santal-100-ml","<p>Creed Santal 100 ML: una fragancia amaderada de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, amaderado, creed","TRUE","Active","Title","Default Title","124000.00","shopify","9","DENY","TRUE","manual","","",""
"Creed Green Irish Tweet 100 ML","creed-green-irish-tweet-100-ml","<p>Creed Green Irish Tweet 100 ML: una fragancia floral de Creed. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Creed","Perfume Masculino","masculino, caballero, caja, floral, creed","TRUE","Active","Title","Default Title","124000.00","shopify","5","DENY","TRUE","manual","","",""
"Bvlgari Aqua 100 ML","bvlgari-aqua-100-ml","<p>Bvlgari Aqua 100 ML: una fragancia fresca de Bvlgari. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Bvlgari","Perfume Masculino","masculino, caballero, caja, fresco, bvlgari","TRUE","Active","Title","Default Title","116000.00","shopify","6","DENY","TRUE","manual","","",""
"Bvlgari Man In Black 100 ML","bvlgari-man-in-black-100-ml","<p>Bvlgari Man In Black 100 ML: una fragancia amaderada de Bvlgari. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Bvlgari","Perfume Masculino","masculino, caballero, caja, amaderado, bvlgari","TRUE","Active","Title","Default Title","116000.00","shopify","7","DENY","TRUE","manual","","",""
"Bvlgari Pour Homme 100 ML","bvlgari-pour-homme-100-ml","<p>Bvlgari Pour Homme 100 ML: una fragancia amaderada de Bvlgari. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Bvlgari","Perfume Masculino","masculino, caballero, caja, amaderado, bvlgari","TRUE","Active","Title","Default Title","130000.00","shopify","15","DENY","TRUE","manual","","",""
"Diesel Only The Brave 120 ML","diesel-only-the-brave-120-ml","<p>Diesel Only The Brave 120 ML: una fragancia amaderada de Diesel. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Diesel","Perfume Masculino","masculino, caballero, caja, amaderado, diesel","TRUE","Active","Title","Default Title","124000.00","shopify","10","DENY","TRUE","manual","","",""
"Diesel Tatto 120 ML","diesel-tatto-120-ml","<p>Diesel Tatto 120 ML: una fragancia amaderada de Diesel. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Diesel","Perfume Masculino","masculino, caballero, caja, amaderado, diesel","TRUE","Active","Title","Default Title","126000.00","shopify","5","DENY","TRUE","manual","","",""
"Light Blue Men 120 ML","light-blue-men-120-ml","<p>Light Blue Men 120 ML: una fragancia fresca de Dolce & Gabbana. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Dolce & Gabbana","Perfume Masculino","masculino, caballero, caja, fresco, dolce-y-gabbana","TRUE","Active","Title","Default Title","124000.00","shopify","10","DENY","TRUE","manual","","",""
"Dolce Pour Homme 120 ML","dolce-pour-homme-120-ml","<p>Dolce Pour Homme 120 ML: una fragancia amaderada de Dolce & Gabbana. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Dolce & Gabbana","Perfume Masculino","masculino, caballero, caja, amaderado, dolce-y-gabbana","TRUE","Active","Title","Default Title","124000.00","shopify","13","DENY","TRUE","manual","","",""
"K Dolce & Gabbana 100 ML","k-dolce-y-gabbana-100-ml","<p>K Dolce & Gabbana 100 ML: una fragancia amaderada de Dolce & Gabbana. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Dolce & Gabbana","Perfume Masculino","masculino, caballero, caja, amaderado, dolce-y-gabbana","TRUE","Active","Title","Default Title","116000.00","shopify","7","DENY","TRUE","manual","","",""
"The One Men 100 ML","the-one-men-100-ml","<p>The One Men 100 ML: una fragancia amaderada de Dolce & Gabbana. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Dolce & Gabbana","Perfume Masculino","masculino, caballero, caja, amaderado, dolce-y-gabbana","TRUE","Active","Title","Default Title","116000.00","shopify","15","DENY","TRUE","manual","","",""
"Blue Label Givenchy 100 ML","blue-label-givenchy-100-ml","<p>Blue Label Givenchy 100 ML: una fragancia fresca de Givenchy. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Givenchy","Perfume Masculino","masculino, caballero, caja, fresco, givenchy","TRUE","Active","Title","Default Title","124000.00","shopify","9","DENY","TRUE","manual","","",""
"Boss Bottled 100 ML","boss-bottled-100-ml","<p>Boss Bottled 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","5","DENY","TRUE","manual","","",""
"Boss Tonic 100 ML","boss-tonic-100-ml","<p>Boss Tonic 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","4","DENY","TRUE","manual","","",""
"Boss Night 100 ML","boss-night-100-ml","<p>Boss Night 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","124000.00","shopify","5","DENY","TRUE","manual","","",""
"Boss Unlimited 100 ML","boss-unlimited-100-ml","<p>Boss Unlimited 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","11","DENY","TRUE","manual","","",""
"Hugo By Hugo Boss 100 ML","hugo-by-hugo-boss-100-ml","<p>Hugo By Hugo Boss 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","6","DENY","TRUE","manual","","",""
"Hugo Red 100 ML","hugo-red-100-ml","<p>Hugo Red 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","5","DENY","TRUE","manual","","",""
"Hugo Just Diferent 100 ML","hugo-just-diferent-100-ml","<p>Hugo Just Diferent 100 ML: una fragancia amaderada de Hugo Boss. Estela distintiva y gran calidad a un precio justo, con envío a toda Colombia.</p>","Hugo Boss","Perfume Masculino","masculino, caballero, caja, amaderado, hugo-boss","TRUE","Active","Title","Default Title","116000.00","shopify","6","DENY","TRUE","manual","","",""
